tag,patterns,responses,suggestions
greeting,"hi,hello,hey,good morning,good evening,how are you,start","Greetings! I am EduSphere AI, your premium college counselor. What's on your mind today?",Explore Fields|Courses
12th_completed,"12 th completed,finished 12th,done with school,completed my 12th,just passed 12th,12th pass","Congratulations on completing 12th! 🎉
Which field would you like to pursue?","Become a Doctor or Healthcare Professional|Build a Career in Engineering & Tech|Explore Arts, Literature & Science"
explore_arts_science,"Explore Arts Literature & Science|Explore Arts, Literature & Science","Which specialized field are you interested in exploring?

✨ Arts & Humanities (Languages, History, Sociology, etc.)

🔬 Science & Technical (CS, Physics, Biology, etc.)

Please select an option below to begin!",Arts & Humanities|Science & Technical
arts_humanities,"Arts & Humanities|arts and humanities|tell me about arts|arts","The **Arts & Humanities** field includes several specialized areas for you to explore:

- Languages & Literature
- Regional Languages
- History
- Philosophy
- Political Science
- Sociology
- Psychology
- Journalism
- Fine Arts

Which specific area are you interested in?",Languages & Literature|Regional Languages|History|Philosophy|Political Science|Sociology|Psychology|Journalism
languages_literature,"Languages & Literature|Languages and Literature|tell me about languages|languages","The **Languages & Literature** field includes several specialized areas for you to explore:

- BA English Literature
- BA English Language
- Regional Languages

Which specific area are you interested in?",BA English Literature|BA English Language|Regional Languages
ba_english_literature,"BA English Literature,b.a english literature,b a english literature,english literature degree,bachelors in english literature","1️⃣ **BA English Literature** 🎓

2️⃣ **Course Overview**
Bachelor of Arts in English Literature (BA English Literature) is a 3-year undergraduate arts degree that focuses on studying English language, poetry, novels, drama, and literary criticism. In this course, you learn how literature reflects culture, history, society, and human emotions. Students develop strong reading, writing, analysis, and communication skills. You will study works from famous writers like William Shakespeare, Jane Austen, and Charles Dickens.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Any stream (Arts / Commerce / Science) |
| Minimum Percentage | Usually 50% – 60% |
| English Subject | Some colleges require English as a subject in 12th |
| Special Note | Government colleges may accept 45–50%, while top colleges may require 60% or above. |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BA English Literature | 3 Years |
| MA English Literature (optional) | 2 Years |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• History of English Literature  
• English Poetry  
• Prose and Essays  
• Communicative English  
• Environmental Studies  

**Year 2**
• British Literature  
• American Literature  
• Drama and Theatre Studies  
• Indian Writing in English  
• Literary Criticism  

**Year 3**
• World Literature  
• Postcolonial Literature  
• Linguistics  
• Creative Writing  
• Translation Studies  
• Research Project / Dissertation  

📖 *You will also study works from famous literature such as Hamlet and Pride and Prejudice.*

6️⃣ **Skills You Will Develop**
• Communication skills  
• Writing and editing  
• Analytical thinking  
• Research skills  
• Public speaking  
• Creative thinking  

7️⃣ **Top Colleges in Tamil Nadu**
• 1. **Loyola College:** One of the top arts colleges in India (Excellent faculty and placement support)  
• 2. **Madras Christian College:** Very famous for English Literature programs  
• 3. **Presidency College:** Government college with strong literature department  
• 4. **Stella Maris College:** Well-known for arts and humanities courses  
• 5. **Ethiraj College for Women:** Popular arts college in Tamil Nadu  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Teacher / Lecturer | Teaching English in schools or colleges |
| Content Writer | Writing for websites, companies, and blogs |
| Journalist | Working in newspapers or media |
| Editor | Editing books, articles, or publications |
| Translator | Translating documents and books |
| Public Relations Officer | Managing company communication |
| Civil Services | Preparing for UPSC exams |

9️⃣ **Higher Studies Options**
• MA English Literature (to become a professor or researcher)  
• MBA  
• Journalism & Mass Communication  

🔟 **Summary**
BA English Literature is a good course if you enjoy reading, writing, language, and communication. It opens careers in teaching, media, writing, publishing, and government jobs.",BA English Language|Languages & Literature|English
ba_english_language,"BA English Language,b.a english language,b a english language,english language degree,bachelors in english language","1️⃣ **BA English Language** 🎓

2️⃣ **Course Overview**
BA English Language is a 3-year undergraduate course that focuses mainly on the structure, use, and study of the English language. Unlike Bachelor of Arts in English Literature, which studies novels and poetry, this course focuses more on grammar, linguistics, communication, and language usage. Students learn:
• How the English language works  
• How people communicate using language  
• Language structure (grammar, phonetics, semantics)  
• Writing and professional communication  

3️⃣ **Eligibility (12th Requirement)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Any Stream |
| Minimum Percentage | Usually 45% – 60% |
| Subject | English in 12th preferred |
| Special Note | Government colleges in Tamil Nadu usually accept around 45–50% marks. |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BA English Language | 3 Years |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• English Grammar  
• Introduction to Linguistics  
• Phonetics and Phonology  
• Communication Skills  
• Functional English  

**Year 2**
• Morphology (word formation)  
• Syntax (sentence structure)  
• Semantics (meaning of words)  
• Sociolinguistics  
• Academic Writing  

**Year 3**
• Applied Linguistics  
• Discourse Analysis  
• Translation Studies  
• Creative Writing  
• Language Teaching Methods  

6️⃣ **Skills You Will Develop**
• Professional English communication  
• Grammar mastery  
• Writing and editing  
• Language analysis  
• Translation skills  
• Public speaking  

7️⃣ **Top Colleges in Tamil Nadu**
• Loyola College  
• Madras Christian College  
• Presidency College  
• Stella Maris College  
• Ethiraj College for Women  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| English Teacher | Teach English in schools |
| Content Writer | Write articles, blogs, website content |
| Translator | Translate between languages |
| Editor / Proofreader | Edit books, documents |
| Public Relations Officer | Manage communication in companies |
| Corporate Trainer | Train employees in communication |

9️⃣ **Higher Studies Options**
• MA English  
• MA Linguistics  
• MBA  
• Journalism & Mass Communication  
• B.Ed (to become a teacher)  

🔟 **Important Comparison**
| Course | Focus |
|---|---|
| BA English Literature | Poetry, novels, drama |
| BA English Language | Grammar, linguistics, communication |",BA English Literature|Languages & Literature|English
regional_languages,"Regional Languages,Regional Language,Hindi,Telugu,Malayalam","**Hindi**

- BA Hindi
- BA Hindi Literature

**Telugu**
- BA Telugu
- BA Telugu Literature

**Malayalam**
- BA Malayalam
- BA Malayalam Literature",BA Hindi|BA Telugu|BA Malayalam
ba_hindi,"BA Hindi,b.a hindi,b a hindi,hindi degree,bachelors in hindi","1️⃣ **BA Hindi** 🎓

2️⃣ **Course Overview**

Bachelor of Arts in Hindi (BA Hindi) is a 3-year undergraduate arts degree that focuses on studying the Hindi language, literature, poetry, prose, grammar, and cultural history.

In this course, students learn about classical and modern Hindi literature, language structure, and literary criticism. The program helps develop reading, writing, communication, and analytical skills.

Students study works from famous Hindi writers like Munshi Premchand, Harivansh Rai Bachchan, and Mahadevi Varma.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Any stream (Arts / Commerce / Science) |
| Minimum Percentage | Usually 45% – 60% |
| Hindi Subject | Some colleges require Hindi in 12th |
| Special Note | Government colleges may accept 45–50%, while top colleges may require 60% or above |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BA Hindi | 3 Years |
| MA Hindi (optional) | 2 Years |

5️⃣ **Subjects / What You Will Study**
**Year 1**  
• History of Hindi Literature  
• Hindi Poetry (Kavita)  
• Hindi Prose (Gadya)  
• Communicative Hindi  
• Environmental Studies  

**Year 2**  
• Medieval Hindi Literature  
• Modern Hindi Literature  
• Hindi Drama and Fiction  
• Literary Criticism  
• Hindi Grammar  

**Year 3**  
• Indian Literature in Hindi  
• Translation Studies  
• Journalism in Hindi  
• Linguistics  
• Research Project / Dissertation  

📖 *Students also study famous literary works such as Godaan and Madhushala.*

6️⃣ **Skills You Will Develop**
• Hindi communication skills
• Writing and editing
• Analytical thinking
• Research skills
• Public speaking
• Translation skills

7️⃣ **Top Colleges in Tamil Nadu**
• University of Madras – Offers Hindi language and literature programs
• Loyola College – Known for strong arts programs
• Madras Christian College – Well-known arts and humanities college
• Presidency College – Government arts college
• Dakshina Bharat Hindi Prachar Sabha – Specializes in Hindi education

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Hindi Teacher / Lecturer | Teaching Hindi in schools or colleges |
| Translator | Translating Hindi documents |
| Journalist | Working in Hindi newspapers or media |
| Content Writer | Writing Hindi articles and content |
| Editor | Editing Hindi books or publications |
| Government Jobs | Preparing for UPSC exams |

9️⃣ **Higher Studies Options**
• MA Hindi
• B.Ed (to become a teacher)
• Journalism & Mass Communication
• MBA
• M.Phil / PhD in Hindi

🔟 **Summary**
BA Hindi is a good course if you are interested in Hindi language, literature, writing, and communication. It opens career opportunities in teaching, journalism, translation, media, and government jobs.",BA Hindi Literature|Regional Languages|Explore Fields
ba_hindi_literature,"BA Hindi Literature,b.a hindi literature,b a hindi literature,hindi literature degree,bachelors in hindi literature","1️⃣ **BA Hindi Literature** 🎓

2️⃣ **Course Overview**

Bachelor of Arts in Hindi Literature (BA Hindi Literature) is a 3-year undergraduate arts degree that focuses on the study of Hindi literature, poetry, novels, drama, literary history, and criticism.

In this course, students learn about classical, medieval, and modern Hindi literary works, language development, and cultural influences. The program helps develop reading, writing, analytical, and communication skills.

Students study works from famous Hindi writers such as Munshi Premchand, Harivansh Rai Bachchan, and Mahadevi Varma.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Any stream (Arts / Commerce / Science) |
| Minimum Percentage | Usually 45% – 60% |
| Hindi Subject | Some colleges prefer Hindi in 12th |
| Special Note | Government colleges may accept 45–50%, while top colleges may require 60% or above |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BA Hindi Literature | 3 Years |
| MA Hindi Literature (optional) | 2 Years |

5️⃣ **Subjects / What You Will Study**
**Year 1**  
• History of Hindi Literature  
• Hindi Poetry (Kavita)  
• Hindi Prose (Gadya)  
• Communicative Hindi  
• Environmental Studies  

**Year 2**  
• Medieval Hindi Literature  
• Modern Hindi Literature  
• Hindi Drama and Fiction  
• Literary Criticism  
• Hindi Grammar  

**Year 3**  
• Indian Literature in Hindi  
• Translation Studies  
• Hindi Journalism  
• Linguistics  
• Research Project / Dissertation  

📖 *Students study famous literary works such as Godaan and Madhushala.*

6️⃣ **Skills You Will Develop**
• Hindi language communication
• Writing and editing skills
• Analytical thinking
• Literary interpretation
• Research skills
• Translation skills

7️⃣ **Top Colleges in Tamil Nadu**
• University of Madras
• Loyola College
• Madras Christian College
• Presidency College
• Dakshina Bharat Hindi Prachar Sabha

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Hindi Teacher / Lecturer | Teaching Hindi in schools or colleges |
| Translator | Translating Hindi content or documents |
| Journalist | Working in Hindi newspapers or media |
| Content Writer | Writing Hindi articles or blogs |
| Editor | Editing Hindi publications |
| Government Jobs | Preparing for UPSC exams |

9️⃣ **Higher Studies Options**
• MA Hindi Literature
• B.Ed (to become a teacher)
• Journalism & Mass Communication
• MBA
• M.Phil / PhD in Hindi Literature

🔟 **Comparison Between Bachelor of Arts in Hindi and Bachelor of Arts in Hindi Literature**

Both courses are 3-year undergraduate programs related to the Hindi language, but the focus of study is slightly different.

🎓 **Main Difference**
| Feature | BA Hindi | BA Hindi Literature |
|---|---|---|
| Focus | Hindi language + basic literature | Deep study of Hindi literature |
| Course Type | Language-based program | Literature specialization |
| Subjects | Grammar, communication, basic literature | Poetry, novels, drama, literary criticism |
| Difficulty | Moderate | More focused on literature |
| Duration | 3 Years | 3 Years |
| Eligibility | 12th pass | 12th pass |

1️⃣1️⃣ **Summary**
BA Hindi Literature is a good course for students interested in Hindi language, literature, and writing. It provides career opportunities in teaching, media, translation, publishing, and government jobs.",BA Hindi|Regional Languages|Explore Fields
ba_telugu,"BA Telugu,b.a telugu,b a telugu,telugu degree,bachelors in telugu","1️⃣ **BA Telugu** 🎓

2️⃣ **Course Overview**

Bachelor of Arts in Telugu (BA Telugu) is a 3-year undergraduate arts degree that focuses on the Telugu language, literature, grammar, poetry, and cultural history.

In this course, students learn about classical and modern Telugu literature, language development, and literary criticism. The program helps students develop reading, writing, communication, and analytical skills.

Students study works from famous Telugu writers like Nannaya, Gurajada Apparao, and Sri Sri.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Any stream (Arts / Commerce / Science) |
| Minimum Percentage | Usually 45% – 60% |
| Telugu Subject | Some colleges prefer Telugu in 12th |
| Special Note | Government colleges may accept 45–50%, while top colleges may require 60% or above |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BA Telugu | 3 Years |
| MA Telugu (optional) | 2 Years |

5️⃣ **Subjects / What You Will Study**
**Year 1**  
• History of Telugu Literature  
• Telugu Poetry  
• Telugu Prose  
• Telugu Grammar  
• Communicative Telugu  

**Year 2**  
• Medieval Telugu Literature  
• Modern Telugu Literature  
• Telugu Drama and Fiction  
• Literary Criticism  
• Indian Literature in Telugu  

**Year 3**  
• Linguistics  
• Translation Studies  
• Journalism in Telugu  
• Comparative Literature  
• Research Project / Dissertation  

📖 *Students also study famous literary works such as Kanyasulkam.*

6️⃣ **Skills You Will Develop**
• Telugu language communication
• Writing and editing skills
• Analytical thinking
• Literary interpretation
• Research skills
• Translation skills

7️⃣ **Top Colleges in Tamil Nadu**
• University of Madras
• Presidency College
• Madras Christian College
• Pachaiyappa's College
• Annamalai University

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Telugu Teacher / Lecturer | Teaching Telugu in schools or colleges |
| Translator | Translating Telugu documents |
| Journalist | Working in Telugu newspapers or media |
| Content Writer | Writing Telugu articles and books |
| Editor | Editing Telugu publications |
| Government Jobs | Preparing for UPSC exams |

9️⃣ **Higher Studies Options**
• MA Telugu
• B.Ed (to become a teacher)
• Journalism & Mass Communication
• MBA
• M.Phil / PhD in Telugu

🔟 **Summary**
BA Telugu is a good course for students interested in Telugu language, literature, and culture. It provides career opportunities in teaching, journalism, translation, media, publishing, and government jobs.",BA Telugu Literature|Regional Languages|Explore Fields
ba_telugu_literature,"BA Telugu Literature,b.a telugu literature,b a telugu literature,telugu literature degree,bachelors in telugu literature","1️⃣ **BA Telugu Literature** 🎓

2️⃣ **Course Overview**

Bachelor of Arts in Telugu Literature (BA Telugu Literature) is a 3-year undergraduate arts degree that focuses on the study of Telugu literary works such as poetry, novels, dramas, classical texts, and literary criticism.

In this course, students learn about the history and development of Telugu literature from ancient to modern times, important literary movements, and the cultural influence of literature. The program helps students develop reading, writing, interpretation, communication, and analytical skills.

Students study works from famous Telugu writers such as Nannaya, Gurajada Apparao, and Sri Sri.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Any stream (Arts / Commerce / Science) |
| Minimum Percentage | Usually 45% – 60% |
| Telugu Subject | Some colleges prefer Telugu in 12th |
| Special Note | Government colleges may accept 45–50%, while top colleges may require 60% or above |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BA Telugu Literature | 3 Years |
| MA Telugu Literature (optional) | 2 Years |

5️⃣ **Subjects / What You Will Study**
**Year 1**  
• History of Telugu Literature  
• Classical Telugu Poetry  
• Telugu Prose  
• Introduction to Literary Studies  
• Communicative Telugu  

**Year 2**  
• Medieval Telugu Literature  
• Modern Telugu Literature  
• Telugu Drama and Fiction  
• Literary Criticism  
• Indian Literature in Telugu  

**Year 3**  
• Comparative Literature  
• Linguistics  
• Translation Studies  
• Journalism in Telugu  
• Research Project / Dissertation  

📖 *Students also study famous literary works such as Kanyasulkam.*

6️⃣ **Skills You Will Develop**
• Literary analysis and interpretation
• Telugu language communication
• Writing and editing skills
• Critical thinking
• Research skills
• Translation skills

7️⃣ **Top Colleges in Tamil Nadu**
• University of Madras
• Presidency College
• Madras Christian College
• Pachaiyappa's College
• Annamalai University

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Telugu Teacher / Lecturer | Teaching Telugu in schools or colleges |
| Translator | Translating Telugu documents |
| Journalist | Working in Telugu newspapers or media |
| Content Writer | Writing Telugu articles, books, and scripts |
| Editor | Editing Telugu publications |
| Government Jobs | Preparing for UPSC exams |

9️⃣ **Higher Studies Options**
• MA Telugu Literature
• B.Ed (to become a teacher)
• Journalism & Mass Communication
• MBA
• M.Phil / PhD in Telugu Literature

🔟 **Summary**

BA Telugu Literature is a good course for students interested in Telugu poetry, novels, drama, and literary studies. It helps build strong skills in language, literature analysis, writing, and research, leading to careers in teaching, journalism, translation, publishing, and government jobs.

1️⃣1️⃣ **Additional Comparison**
| Feature | Bachelor of Arts in Telugu | Bachelor of Arts in Telugu Literature |
|---|---|---|
| Focus | Telugu language + basic literature | Deep study of Telugu literary works |
| Course Type | Language-based program | Literature specialization |
| Subjects | Grammar, communication, language study | Poetry, novels, drama, literary criticism |
| Difficulty | Moderate | More focused on literature |
| Duration | 3 Years | 3 Years |
| Eligibility | 12th pass | 12th pass |

✅ **Simple Explanation:**

BA Telugu → Focus on learning and using the Telugu language

BA Telugu Literature → Focus on studying Telugu poems, novels, and literary works.",BA Telugu|Regional Languages|Explore Fields
